best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,out_channels1,out_channels2,out_channels3,h1,h2,batch_size,dropout_rate,weight_decay
8,0.7644637662266928,0.21311257003247738,0.8550770798372844,0.9236875,0.7552083,13,True,128,256,128,512,128,64,0,0
7,0.7717062419369107,0.22399490812420844,0.8759000031721025,0.918125,0.7606647,12,True,128,256,128,512,128,64,0,1e-05
9,0.7568029349758512,0.17527527214586736,0.9155255608142369,0.939,0.7586805,14,True,128,256,128,512,128,64,0,0.0001
11,0.7854467483740004,0.23838859155774117,0.973847264335269,0.9163125,0.75099206,16,True,128,256,128,512,128,64,0.25,0
9,0.82012158726889,0.3067460073828697,0.9476449886957804,0.8934375,0.7363591,14,True,128,256,128,512,128,64,0.25,1e-05
9,0.8124308676000626,0.33621226674318316,0.9184205707103487,0.882125,0.7512401,14,True,128,256,128,512,128,64,0.25,0.0001
11,0.897546526931581,0.421442263007164,0.9349315280006045,0.85574996,0.73511904,16,True,128,256,128,512,128,64,0.5,0
16,0.902539242827703,0.278298539429903,1.0581114859808058,0.9059375,0.74156743,21,True,128,256,128,512,128,64,0.5,1e-05
14,0.917163230123974,0.3391059590280056,0.9285969947065625,0.883875,0.73685515,19,True,128,256,128,512,128,64,0.5,0.0001
27,1.2044130100144281,0.7556618109941483,1.278390450137002,0.729,0.6222718,32,True,128,256,128,512,128,64,0.75,0
33,1.1721302592565144,0.5966032013893128,1.2669623040017628,0.7823125,0.65004957,38,True,128,256,128,512,128,64,0.75,1e-05
28,1.1510832726009308,0.6569893625974655,1.187379434941307,0.77375,0.67088294,33,True,128,256,128,512,128,64,0.75,0.0001
6,0.7942544089423286,0.32765866023302076,0.8727792104085287,0.884625,0.74553573,11,True,128,256,128,512,128,64,0.1,0
6,0.7792366903925699,0.3521146196126938,0.9164885774491325,0.8746875,0.72296625,11,True,128,256,128,512,128,64,0.1,1e-05
9,0.786132403309383,0.25386906403303144,0.9518124640934051,0.909875,0.7336309,14,True,128,256,128,512,128,64,0.1,0.0001
8,0.7695479818752834,0.2761865470409393,0.9442719651593102,0.9031875,0.7445437,13,True,128,256,128,512,128,64,0.125,0
10,0.7901498855106415,0.21484037925302982,0.9271313756231278,0.92425,0.7554563,15,True,128,256,128,512,128,64,0.125,1e-05
10,0.8052578833368089,0.24695081406831743,0.9320084537778582,0.910625,0.74875987,15,True,128,256,128,512,128,64,0.125,0.0001
8,0.8070112703338502,0.2752397832274437,0.8877391304288592,0.90275,0.7408234,13,True,128,256,128,512,128,64,0.15,0
9,0.7704822293349675,0.25205038887262343,0.9226361371221996,0.911875,0.7477678,14,True,128,256,128,512,128,64,0.15,1e-05
10,0.7698790099885728,0.2633276201188564,0.8984176989585634,0.9084375,0.7480159,15,True,128,256,128,512,128,64,0.15,0.0001
10,0.787433750099606,0.2479819318652153,0.9251754643425109,0.912625,0.7566964,15,True,128,256,128,512,128,64,0.175,0
11,0.8139736335428934,0.21957497555017472,1.0788108526714264,0.92106247,0.7395833,16,True,128,256,128,512,128,64,0.175,1e-05
10,0.796211182125031,0.25498063132166865,0.8782742453946007,0.910125,0.7554563,15,True,128,256,128,512,128,64,0.175,0.0001
9,0.8109672883200267,0.2868521507680416,0.8942974100983332,0.897375,0.7423115,14,True,128,256,128,512,128,64,0.2,0
13,0.800659777153106,0.17423046146333218,1.0064650007656641,0.940625,0.7606647,18,True,128,256,128,512,128,64,0.2,1e-05
10,0.7867069187618437,0.2666832520067692,0.946171015974075,0.908875,0.7447916,15,True,128,256,128,512,128,64,0.2,0.0001
9,0.8423297268057627,0.3149077197611332,0.9122506276009574,0.8926875,0.7395833,14,True,128,256,128,512,128,64,0.225,0
10,0.8293125619963994,0.2650811661183834,0.8836711441713666,0.907125,0.74603176,15,True,128,256,128,512,128,64,0.225,1e-05
10,0.8282762113071623,0.2873101360499859,0.9365284849726965,0.8999375,0.7405754,15,True,128,256,128,512,128,64,0.225,0.0001
11,0.814958321669745,0.2539626222252846,0.8988311352237822,0.911625,0.7569444,16,True,128,256,128,512,128,64,0.25,0
10,0.8274707699578906,0.2857093956172466,0.9386114804517656,0.898625,0.74950397,15,True,128,256,128,512,128,64,0.25,1e-05
12,0.8375030562045083,0.2581875900924206,1.0150970584816403,0.909125,0.7375992,17,True,128,256,128,512,128,64,0.25,0.0001
10,0.8254194463056231,0.2936818995475769,0.9352295805537512,0.8993125,0.7450397,15,True,128,256,128,512,128,64,0.275,0
11,0.8272298196005443,0.2688284894824028,0.9339541925324334,0.9083125,0.74677575,16,True,128,256,128,512,128,64,0.275,1e-05
12,0.8079524957944476,0.2606730410158634,0.9648203703146132,0.9086875,0.7472718,17,True,128,256,128,512,128,64,0.275,0.0001
11,0.8251608406740522,0.29704059955477713,0.9151850796881176,0.89775,0.7529762,16,True,128,256,128,512,128,64,0.3,0
13,0.8293011396650284,0.2243134425878525,1.0184741507446955,0.9211875,0.75223213,18,True,128,256,128,512,128,64,0.3,1e-05
10,0.824437550609074,0.33154265663027765,0.9142286200372,0.885125,0.7408234,15,True,128,256,128,512,128,64,0.3,0.0001
