best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,out_channels1,out_channels2,out_channels3,h1,h2,batch_size
7,0.8270827624946833,0.2992512538433075,0.9760647919028996,0.8933125,0.7260742,12,True,128,128,128,512,256,128
7,0.83102081692408,0.3173909203112125,0.9062212185254171,0.8876875,0.7405754,12,True,128,256,128,512,128,64
7,0.836124898865819,0.2883561598062515,0.9487238693982364,0.89825,0.72558594,12,True,128,256,128,512,128,128
9,0.8364857584238052,0.2964942179918289,0.97985159419477,0.89,0.72631836,14,True,128,128,256,256,512,128
9,0.8369042144881355,0.234701341792941,1.0349261897896964,0.917625,0.71552575,14,True,128,256,256,512,256,64
8,0.8408723883330822,0.2535864490866661,1.0415776763111353,0.908625,0.71435547,13,True,64,128,128,512,256,128
7,0.841416347771883,0.3182331945896148,1.0724069345742464,0.8890625,0.71313477,12,True,64,256,256,512,128,128
10,0.8469765018671751,0.2722207274436951,1.0640045553445816,0.901875,0.71362305,15,True,128,256,512,512,128,128
8,0.8471368534564971,0.3101453561484814,1.1264694776535034,0.8908125,0.70774996,13,True,32,128,128,256,256,32
8,0.8472716528922319,0.2740897041559219,1.0989820696413517,0.9011875,0.7150879,13,True,128,256,256,512,256,128
9,0.8504192545300439,0.2626326517760753,1.0146459648533472,0.9081875,0.71899796,14,True,128,128,256,512,128,64
8,0.8512720353901386,0.2768231080770492,0.9723799154162408,0.903125,0.72802734,13,True,128,128,128,512,128,128
6,0.8516874331980944,0.3394145257472992,1.0254582203924656,0.87874997,0.7067871,11,True,128,128,128,512,512,128
7,0.8547283131629229,0.2784628283977508,0.9696500338613988,0.902,0.7194824,12,True,64,256,128,512,128,128
7,0.8548643570393324,0.2792465991973877,0.992070373147726,0.9015,0.71850586,12,True,32,256,128,256,128,128
7,0.855917789041996,0.2800229762792587,0.9557454735040664,0.901,0.7282715,12,True,64,256,128,512,256,128
7,0.8582626730203629,0.2765988043546676,1.028286686167121,0.9026875,0.7211914,12,True,64,256,128,512,512,128
9,0.8590160012245178,0.2623700042366981,1.0422874707728624,0.90475,0.7180176,14,True,128,64,128,512,256,128
9,0.8598032404506017,0.2400335074961185,1.057376740943818,0.9154375,0.7291666,14,True,128,256,128,512,512,64
9,0.8606221675872803,0.2625095194578171,1.1270303409546614,0.9075,0.7062988,14,True,128,256,256,256,128,128
9,0.8613428566604853,0.2448850453495979,1.073501566424966,0.9105625,0.7192383,14,True,128,128,256,512,256,128
8,0.8616295978426933,0.3738758273124695,0.9930649809539318,0.86775,0.71777344,13,True,128,64,512,512,512,128
6,0.8633272288337587,0.3332171601653099,1.0127815358222476,0.881875,0.71552575,11,True,128,256,128,512,256,64
6,0.863416210053459,0.3691477477252483,0.9551495152806478,0.871875,0.7199901,11,True,128,256,256,512,128,64
7,0.8637269243361458,0.3404461426138878,0.9972489012612236,0.877375,0.71031743,12,True,64,64,128,512,128,64
11,0.8641171815395355,0.2323015027083456,1.0004385530948638,0.92,0.73025,16,True,64,256,512,512,256,32
7,0.8642995669728234,0.3409354675710201,0.985725053719112,0.880875,0.7279266,12,True,64,128,256,512,512,64
7,0.8646256122738123,0.3523053373098373,0.9727075528353452,0.876375,0.7211914,12,True,64,128,256,256,512,128
6,0.8651941251009703,0.3938884246349334,0.9407380931079388,0.858375,0.7163086,11,True,64,128,256,256,256,128
7,0.8657546285539865,0.3234553394317627,0.96847752481699,0.8863125,0.7294922,12,True,128,128,128,256,128,128
6,0.8659441564232111,0.3191188859939575,0.976861633360386,0.885875,0.71191406,11,True,64,128,128,512,512,128
9,0.865950521081686,0.283358996629715,1.0497692711651323,0.901,0.7175293,14,True,64,256,512,512,128,128
9,0.8668038547039032,0.2778630669116974,0.9729867279529572,0.903625,0.7270508,14,True,64,64,256,512,128,128
8,0.866923967997233,0.2937404132485389,0.9528957406679788,0.896,0.72619045,13,True,64,256,128,256,256,64
8,0.867914218455553,0.2454053423404693,0.9647969510406256,0.9116875,0.7434082,13,True,128,256,128,512,256,128
9,0.8680442087352276,0.2774449484348297,1.0813280623406172,0.9004375,0.7109375,14,True,128,64,256,512,512,128
6,0.868408895674206,0.4237685002088546,0.9367379716464452,0.8484375,0.71552575,11,True,128,64,128,256,128,64
7,0.8686394984759982,0.3742563331723213,0.9887199889099788,0.865375,0.7150297,12,True,128,64,128,256,256,64
8,0.8686571400612593,0.2991143680810928,1.0642123129218817,0.88975,0.7224121,13,True,128,128,256,512,512,128
9,0.8688296827058943,0.2492779077291488,1.0449950742343117,0.9129375,0.7274306,14,True,64,256,256,512,128,64
10,0.8693440202623606,0.2294740105867385,1.0306891072541475,0.9185625,0.73217773,15,True,64,128,256,256,128,128
8,0.8694430645555258,0.3229014393091202,0.9588539637625216,0.88743746,0.7336426,13,True,128,128,256,256,128,128
9,0.8694932574317569,0.3120852489173412,0.9711091116307272,0.8895,0.73338294,14,True,128,128,256,256,128,64
7,0.8697812464088202,0.3008286370038986,0.9713240191340446,0.89524996,0.7241211,12,True,64,128,128,512,128,128
7,0.8699911218136549,0.3446566604375839,1.0141272507607937,0.877375,0.7150879,12,True,64,64,256,512,256,128
7,0.870017247274518,0.3170624344348907,0.9339122734963894,0.8888125,0.7270508,12,True,64,128,256,512,128,128
8,0.8703677001453581,0.3045476490855217,1.0412805392628623,0.893,0.7254464,13,True,64,64,128,512,256,64
8,0.8704356160014868,0.2799528255462646,1.063123943284154,0.898625,0.7207031,13,True,64,128,256,512,256,128
8,0.8704455674640716,0.275450967669487,1.0114099402276298,0.9009375,0.71899796,13,True,64,256,128,256,128,64
7,0.8704866655170918,0.3330701031684875,0.987323323264718,0.879125,0.7167969,12,True,64,256,256,256,128,128
9,0.871080555140026,0.3052715793550014,1.1131318476465013,0.8941875,0.71428573,14,True,64,256,512,256,128,64
12,0.871178200468421,0.2209589300751686,1.0589197129011154,0.9211875,0.72314453,17,True,64,256,512,512,256,128
6,0.8712229539477636,0.364021527916193,0.948773043496268,0.87224996,0.72271824,11,True,64,128,128,512,512,64
8,0.8713117383775257,0.3267591763138771,1.0090413349015372,0.8848125,0.72470236,13,True,32,256,512,256,128,64
7,0.8717042534124284,0.3215746287703514,0.9290734775482662,0.88675,0.7361111,12,True,128,128,128,512,128,64
6,0.8722954326205783,0.358847929239273,0.95635805148927,0.87175,0.7165178,11,True,128,128,128,512,256,64
9,0.872447247505188,0.3309925845488906,1.111152455329895,0.8850625,0.70825,14,True,128,256,512,512,512,32
10,0.8729679472744465,0.2520452374815941,1.0680076014250517,0.911125,0.7285156,15,True,128,128,512,512,128,128
8,0.8738515632493156,0.3509130084812641,0.9647348059548272,0.871875,0.71205354,13,True,64,128,128,128,256,64
8,0.8738587591797113,0.2759671474099159,0.9138823859393596,0.9008125,0.7380371,13,True,128,256,256,512,128,128
10,0.8742983397983369,0.2586773310303688,1.0014311425269595,0.909125,0.72842264,15,True,128,256,512,512,512,64
12,0.8743099825722831,0.2123354228138923,1.132277933378068,0.925875,0.72991073,17,True,128,256,512,512,256,64
8,0.874611858278513,0.3659572048187255,1.0414411015808582,0.86825,0.71069336,13,True,128,256,512,256,256,128
7,0.8746624514460564,0.3365132220983505,0.9983416851609944,0.878625,0.71972656,12,True,64,256,256,256,256,128
7,0.8746847547590733,0.3180534577369689,0.9207324627786876,0.8890625,0.72314453,12,True,128,256,128,256,128,128
8,0.874789897352457,0.3120845255851746,1.051691584289074,0.8893125,0.7036133,13,True,32,64,128,256,256,128
7,0.8748717494308949,0.294525603890419,0.975224981084466,0.8951875,0.71606445,12,True,32,128,128,256,256,128
10,0.8748936989307403,0.2673453064076602,1.0035000679492951,0.9093125,0.72274995,15,True,128,256,512,512,256,32
8,0.8751547365188599,0.3218014416322112,0.9856664533615112,0.8888125,0.717,13,True,128,64,128,512,512,32
7,0.875321816830408,0.3564268451929092,0.9737853351093474,0.87425,0.7100694,12,True,64,128,256,256,512,64
6,0.8754009027034044,0.3529282640218735,0.9638001192361116,0.8746875,0.72314453,11,True,64,256,128,256,128,128
9,0.8767588114927686,0.2458342404663562,1.0344807382613894,0.913625,0.71875,14,True,64,128,128,512,256,64
8,0.8767970446497202,0.3692219618558883,0.9814326167106628,0.8705625,0.7233887,13,True,128,128,512,256,512,128
7,0.8767999392002821,0.3513741685152053,0.9395440388470888,0.87575,0.72143555,12,True,128,64,128,512,128,128
10,0.87686562910676,0.2201872895359993,1.1432814579457045,0.9231875,0.71435547,15,True,64,64,128,512,512,128
7,0.8768956519308544,0.3488960136771202,1.0481813332391163,0.87575,0.6979166,12,True,128,64,128,512,512,64
8,0.8769130195890155,0.293213720858097,1.0058716478801908,0.896875,0.72767854,13,True,64,128,128,256,512,64
8,0.8770887311547995,0.2872232954502106,0.9887186661362648,0.8940625,0.7282715,13,True,128,256,256,256,256,128
11,0.8772127386182547,0.2474792957305908,1.0314356964081526,0.9135625,0.7126465,16,True,128,64,128,256,128,128
7,0.8772881910914466,0.3331358995437622,0.948749513853164,0.8844375,0.72296625,12,True,64,128,128,256,128,64
8,0.8773618098348379,0.2462017927765846,1.032884456217289,0.90925,0.72802734,13,True,64,256,256,512,256,128
7,0.8777875415980816,0.4001174041032791,0.9988201446831226,0.85856247,0.7001953,12,True,128,64,128,128,256,128
6,0.8781342003494501,0.3505451052188873,0.9400027599185704,0.875125,0.7114258,11,True,32,256,256,512,256,128
8,0.8783175765521942,0.3094363776445389,1.0282875337297954,0.8914375,0.71428573,13,True,128,128,128,256,512,64
8,0.8783595968806555,0.3941353284120559,0.930317345119658,0.86225,0.7172619,13,True,128,256,512,256,512,64
8,0.8784554936885833,0.2865830118581652,1.0824107072353364,0.90337497,0.71575,13,True,32,256,256,512,512,32
8,0.8785032983869314,0.3274886071681976,1.0569062680006027,0.8825,0.7043457,13,True,128,64,256,512,128,128
6,0.8786805216223001,0.3427919090986251,1.0093148611485958,0.87593746,0.72314453,11,True,64,256,128,256,512,128
7,0.878985658288002,0.2971421046853065,1.0426638908684254,0.89156246,0.7175293,12,True,32,256,256,512,512,128
10,0.8790884781628847,0.1997280374169349,1.159866189584136,0.928,0.72680664,15,True,128,256,128,256,512,128
7,0.8791127933396233,0.2856054608523846,1.0554595154429238,0.898625,0.7185019,12,True,32,256,128,512,256,64
8,0.8793752323836088,0.3348831130266189,0.929547682404518,0.8788125,0.7199707,13,True,128,64,256,256,128,128
8,0.8795463386036101,0.3384344455897808,1.0201194939159213,0.8794375,0.72147816,13,True,64,256,128,128,128,64
