best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,out_channels1,out_channels2,out_channels3,out_channels4,h1,h2,h3,eta,batch_size,dropout_rate,weight_decay,stride,padding,kernel_size,pool_kernel_size,pool_stride
7,0.8074851490202404,0.2291204905807972,0.9713094347999209,0.7708795094192028,0.028690565200079066,12,128,128,128,128,128,128,128,0.001,64,0,0,1,1,3,3,2
6,0.8754036010257782,0.22396628373861313,0.9840920009310283,0.7760337162613868,0.015907999068971668,11,128,128,128,128,128,128,128,0.0001,64,0,0,1,1,3,3,2
5,0.8295319229364395,0.29057570934295657,0.9932128414511681,0.7094242906570434,0.00678715854883194,10,128,128,128,128,128,128,128,0.001,128,0,0,1,1,3,3,2
9,0.9295731950551271,0.15598463994264603,1.1480714362114668,0.844015360057354,-0.1480714362114668,14,128,128,128,128,128,128,128,0.0001,128,0,0,1,1,3,3,2
7,0.8239385182895358,0.2375609004497528,0.9877627728477357,0.7624390995502472,0.012237227152264274,12,128,128,128,128,128,128,256,0.001,64,0,0,1,1,3,3,2
6,0.8819004855458699,0.22598511290550233,1.1208952920777457,0.7740148870944976,-0.12089529207774574,11,128,128,128,128,128,128,256,0.0001,64,0,0,1,1,3,3,2
7,0.82739476300776,0.20548512172698974,0.9854458943009377,0.7945148782730103,0.014554105699062347,12,128,128,128,128,128,128,256,0.001,128,0,0,1,1,3,3,2
7,0.918225135654211,0.20005024367570878,1.0177924986928701,0.7999497563242912,-0.01779249869287014,12,128,128,128,128,128,128,256,0.0001,128,0,0,1,1,3,3,2
6,0.8332283979370481,0.2789815658628941,0.8735480076736875,0.721018434137106,0.12645199232631255,11,128,128,128,128,128,128,512,0.001,64,0,0,1,1,3,3,2
7,0.8796174885734679,0.1888287826180458,1.1233616461829534,0.8111712173819542,-0.12336164618295342,12,128,128,128,128,128,128,512,0.0001,64,0,0,1,1,3,3,2
9,0.8284453470259905,0.1745054721534252,0.9042958300560713,0.8254945278465748,0.09570416994392872,14,128,128,128,128,128,128,512,0.001,128,0,0,1,1,3,3,2
7,0.9164120201021433,0.20600031250715256,1.042095523327589,0.7939996874928474,-0.042095523327589035,12,128,128,128,128,128,128,512,0.0001,128,0,0,1,1,3,3,2
