best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,h1,h2,batch_size,dropout_rate,weight_decay
8,1.7168590302467346,1.5765120077729224,1.7309453239440917,0.42756248,0.38199997,13,True,32,32,16,0.2,0.0001
11,1.7059518985748292,1.523647090792656,1.7221707820892334,0.44787496,0.38325,16,True,32,32,32,0.2,0.0001
20,1.7007309217301627,1.4472057094573976,1.7118380883383373,0.47724998,0.4037698,25,True,32,32,64,0.2,0.0001
13,1.6959006674587727,1.505264859199524,1.7105101272463799,0.46437496,0.4099121,18,True,32,32,128,0.2,0.0001
16,1.6794114751815796,1.4628419211506845,1.741134735584259,0.472,0.39774996,21,True,32,64,16,0.2,0.0001
13,1.680193323135376,1.4524345675706862,1.6973916597366332,0.47812498,0.41375,18,True,32,64,32,0.2,0.0001
14,1.6628107456933885,1.4356408243179322,1.6892766763293554,0.48925,0.40649796,19,True,32,64,64,0.2,0.0001
8,1.6784665919840336,1.5048378295898437,1.697280164808035,0.4603125,0.4013672,13,True,32,64,128,0.2,0.0001
12,1.6859225671291351,1.4646974416971206,1.737490996837616,0.4705,0.39424998,17,True,32,128,16,0.2,0.0001
6,1.674810429573059,1.5058358495235442,1.705239254951477,0.456375,0.39799994,11,True,32,128,32,0.2,0.0001
15,1.652104037148612,1.3748073139190673,1.6799263916318379,0.5065,0.41517854,20,True,32,128,64,0.2,0.0001
9,1.6606257297098637,1.459385950088501,1.6621216870844364,0.47924995,0.42016602,14,True,32,128,128,0.2,0.0001
10,1.6921173503398896,1.4705398550629616,1.7062676351070405,0.47843748,0.41099995,15,True,32,256,16,0.2,0.0001
19,1.6584000883102417,1.3449485498666762,1.7244948301315308,0.513875,0.417,24,True,32,256,32,0.2,0.0001
13,1.6395081073518782,1.3750573291778565,1.679311716367328,0.5031875,0.42013884,18,True,32,256,64,0.2,0.0001
15,1.629214622080326,1.3449418659210206,1.6456868350505829,0.51374996,0.42016602,20,True,32,256,128,0.2,0.0001
6,1.711666098356247,1.5309945114850998,1.747642403125763,0.4515,0.39049995,11,True,32,512,16,0.2,0.0001
8,1.663151439666748,1.441241765141487,1.6899661149978638,0.47974998,0.41099995,13,True,32,512,32,0.2,0.0001
9,1.6356607713396587,1.4000455813407897,1.6795964827613226,0.49675,0.40997022,14,True,32,512,64,0.2,0.0001
13,1.6244146637618542,1.3350360546112061,1.6640795283019543,0.5149375,0.41357422,18,True,32,512,128,0.2,0.0001
9,1.6764579558372497,1.4668230696320534,1.7070557725429536,0.47724998,0.4105,14,True,64,32,16,0.2,0.0001
9,1.6529789800643921,1.4422217390537262,1.6827839860916138,0.48462498,0.40199995,14,True,64,32,32,0.2,0.0001
14,1.656588280011737,1.3547860567569732,1.6713365316390991,0.51787496,0.42286706,19,True,64,32,64,0.2,0.0001
16,1.6443743966519833,1.345300269126892,1.6666984520852566,0.51531243,0.41870117,21,True,64,32,128,0.2,0.0001
6,1.66922145318985,1.4710368422865867,1.6919717192649841,0.47218746,0.40449995,11,True,64,64,16,0.2,0.0001
6,1.6500340766906738,1.4433210431337355,1.6947815446853638,0.48462498,0.40424997,11,True,64,64,32,0.2,0.0001
5,1.6290140416887071,1.4351290130615235,1.6515954846427554,0.4923125,0.42212296,10,True,64,64,64,0.2,0.0001
13,1.607475221157074,1.29161395072937,1.679708156734705,0.53656244,0.43041992,18,True,64,64,128,0.2,0.0001
10,1.647956714630127,1.3779031273126603,1.6800438904762267,0.5046875,0.41849995,15,True,64,128,16,0.2,0.0001
7,1.6287022008895875,1.3739107455015183,1.6631813077926636,0.5045,0.42299998,12,True,64,128,32,0.2,0.0001
11,1.6180254864314245,1.2848968551158906,1.660004562801785,0.5400625,0.42881942,16,True,64,128,64,0.2,0.0001
7,1.6200564689934254,1.3613854188919068,1.642513457685709,0.5165,0.42700195,12,True,64,128,128,0.2,0.0001
10,1.6554775586128234,1.3662944515943527,1.6712857851982117,0.51156247,0.42724997,15,True,64,256,16,0.2,0.0001
7,1.6477707328796387,1.3555133675336837,1.6673516292572022,0.512625,0.42149997,12,True,64,256,32,0.2,0.0001
10,1.5964596139060125,1.251863777399063,1.6689004311485895,0.55193746,0.42286706,15,True,64,256,64,0.2,0.0001
11,1.59767746925354,1.237115797996521,1.6415387392044067,0.55956244,0.42993164,16,True,64,256,128,0.2,0.0001
3,1.6780860469341279,1.4843309385180474,1.6986839184761047,0.47274995,0.41474998,8,True,64,512,16,0.2,0.0001
8,1.624837049484253,1.3076321063041687,1.6990798778533935,0.53049994,0.41849995,13,True,64,512,32,0.2,0.0001
9,1.5977174441019695,1.223492987394333,1.6476820347801087,0.56275,0.43874007,14,True,64,512,64,0.2,0.0001
8,1.5753608793020248,1.2512753868103028,1.6149824261665344,0.5591875,0.44628906,13,True,64,512,128,0.2,0.0001
11,1.6595927696228028,1.3772128019332885,1.6798635704517364,0.503,0.42324996,16,True,128,32,16,0.2,0.0001
8,1.6342117977142334,1.385162729382515,1.6821274147033691,0.5046875,0.42099994,13,True,128,32,32,0.2,0.0001
8,1.630031254556444,1.3342098278999328,1.652384913156903,0.52156246,0.44370037,13,True,128,32,64,0.2,0.0001
9,1.602366115897894,1.3112972421646119,1.636419154703617,0.53093743,0.42773438,14,True,128,32,128,0.2,0.0001
9,1.6519334502220153,1.3596566491127013,1.6818765406608582,0.51031244,0.42525,14,True,128,64,16,0.2,0.0001
