best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,eta,h1,h2,batch_size,dropout_rate,weight_decay,momentum
9,1.8519380707740785,1.7391783190965653,1.8818083715438843,0.39418745,0.343,19,True,0.01,32,32,16,0.1,0.0001,0.3
12,1.8591103463172913,1.7429991888999938,1.8784555029869079,0.39806247,0.33624995,22,True,0.001,32,32,16,0.1,0.0001,0.3
23,1.8516485829353333,1.7671064594984054,1.8721265940666199,0.38993746,0.33924997,33,True,0.0001,32,32,16,0.1,0.0001,0.3
8,1.8258984756469727,1.6957880952358246,1.870064154624939,0.4158125,0.3455,18,True,0.01,32,32,32,0.1,0.0001,0.3
10,1.838196039199829,1.7242961905002594,1.8449956254959106,0.4099375,0.352,20,True,0.001,32,32,32,0.1,0.0001,0.3
23,1.8473960647583008,1.7792343595027924,1.858546989440918,0.39406246,0.3505,33,True,0.0001,32,32,32,0.1,0.0001,0.3
12,1.8147472729758611,1.6769170637130737,1.8437662370621213,0.427,0.35763884,22,True,0.01,32,32,64,0.1,0.0001,0.3
14,1.8221473447860232,1.7164156632423402,1.852492922828311,0.41806245,0.35590273,24,True,0.001,32,32,64,0.1,0.0001,0.3
43,1.8249968479550074,1.7756703186035157,1.8369519237488035,0.39618748,0.3767361,53,True,0.0001,32,32,64,0.1,0.0001,0.3
8,1.8084150552749634,1.68669624710083,1.8500044904649258,0.42412496,0.37231445,18,True,0.01,32,32,128,0.1,0.0001,0.3
27,1.8175141140818596,1.6917445936203004,1.8381961584091187,0.433375,0.37670898,37,True,0.001,32,32,128,0.1,0.0001,0.3
55,1.8278231658041477,1.7929857215881349,1.8473404832184315,0.38849998,0.36206055,65,True,0.0001,32,32,128,0.1,0.0001,0.3
7,1.8616761832237243,1.7429775590896606,1.873255030632019,0.3903125,0.34475,17,True,0.01,32,64,16,0.1,0.0001,0.3
5,1.8622441234588623,1.769889664053917,1.8634780383110046,0.38562495,0.35074997,15,True,0.001,32,64,16,0.1,0.0001,0.3
29,1.871849355697632,1.753987916827202,1.881236421108246,0.39631248,0.34475,39,True,0.0001,32,64,16,0.1,0.0001,0.3
4,1.8319919061660768,1.7152446548938751,1.846342490196228,0.40618747,0.36324996,14,True,0.01,32,64,32,0.1,0.0001,0.3
12,1.8394647331237792,1.715414428949356,1.861562071800232,0.41737497,0.35849994,22,True,0.001,32,64,32,0.1,0.0001,0.3
26,1.844566210746765,1.7691402592658996,1.8660336961746216,0.40074998,0.35799998,36,True,0.0001,32,64,32,0.1,0.0001,0.3
12,1.8152012295193143,1.6734456667900086,1.8588894870546129,0.42999995,0.36135912,22,True,0.01,32,64,64,0.1,0.0001,0.3
